Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
TANKERSLEY PARK,1.605,1.624,1.636,1.647,1.662,1.684,1.709,1.745,1.794,1.817,1.866,1.906,1.92,1.958,1.99,2.033,2.074,2.13,2.194,2.279,2.349,2.445,2.548,2.608,2.72,2.817,2.94,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TEMPLEBOROUGH 33/11KV,1.042,1.055,1.063,1.071,1.081,1.097,1.114,1.139,1.173,1.189,1.223,1.251,1.261,1.287,1.309,1.339,1.367,1.406,1.451,1.51,1.559,1.625,1.697,1.739,1.816,1.884,1.969,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
THORNBURY,0.428,0.444,0.454,0.463,0.475,0.494,0.514,0.544,0.585,0.605,0.645,0.679,0.69,0.721,0.748,0.784,0.818,0.864,0.918,0.988,1.047,1.126,1.212,1.262,1.355,1.436,1.538,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
THORNE,2.202,2.224,2.237,2.25,2.267,2.293,2.321,2.362,2.418,2.445,2.501,2.547,2.563,2.606,2.643,2.692,2.739,2.803,2.877,2.974,3.055,3.164,3.283,3.351,3.48,3.591,3.732,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
THORNTON,1.545,1.573,1.589,1.606,1.627,1.66,1.696,1.747,1.818,1.853,1.923,1.982,2.002,2.056,2.103,2.165,2.225,2.306,2.399,2.521,2.624,2.762,2.912,2.999,3.162,3.302,3.481,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
THORPE ROAD,0.81,0.822,0.83,0.837,0.846,0.861,0.876,0.899,0.93,0.945,0.976,1.002,1.011,1.035,1.056,1.083,1.109,1.145,1.186,1.239,1.285,1.345,1.411,1.45,1.521,1.583,1.661,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TICKHILL ROAD,2.588,2.612,2.626,2.64,2.658,2.686,2.716,2.76,2.82,2.849,2.909,2.959,2.976,3.023,3.063,3.115,3.166,3.234,3.314,3.418,3.505,3.622,3.75,3.824,3.962,4.081,4.233,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TINGLEY,1.35,1.37,1.381,1.393,1.407,1.43,1.455,1.491,1.541,1.565,1.614,1.655,1.669,1.707,1.74,1.783,1.825,1.881,1.946,2.032,2.103,2.2,2.304,2.365,2.478,2.576,2.701,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TINSLEY PARK ROAD,0.063,0.065,0.066,0.066,0.067,0.069,0.071,0.073,0.077,0.078,0.082,0.084,0.085,0.088,0.09,0.093,0.096,0.1,0.104,0.11,0.115,0.122,0.129,0.133,0.141,0.148,0.156,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TINSLEY WIRE INDUSTRIES,0.21,0.213,0.215,0.217,0.22,0.224,0.228,0.234,0.243,0.247,0.255,0.262,0.265,0.271,0.277,0.284,0.291,0.301,0.312,0.327,0.339,0.356,0.374,0.384,0.404,0.42,0.442,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TIVERTON ROAD,1.673,1.691,1.701,1.711,1.724,1.745,1.767,1.799,1.843,1.865,1.909,1.945,1.957,1.991,2.021,2.059,2.096,2.146,2.204,2.28,2.344,2.43,2.523,2.577,2.678,2.765,2.876,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TODMORDEN,0.696,0.711,0.721,0.73,0.742,0.76,0.78,0.81,0.85,0.869,0.909,0.942,0.953,0.984,1.01,1.045,1.079,1.124,1.177,1.246,1.304,1.382,1.466,1.515,1.607,1.686,1.787,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TOLLER LANE,0.474,0.491,0.501,0.511,0.523,0.543,0.564,0.595,0.638,0.658,0.7,0.735,0.747,0.78,0.808,0.845,0.881,0.929,0.985,1.058,1.119,1.202,1.292,1.344,1.441,1.525,1.632,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
TONG STREET,0.627,0.636,0.642,0.647,0.654,0.664,0.676,0.692,0.715,0.726,0.748,0.767,0.773,0.791,0.806,0.826,0.845,0.87,0.9,0.939,0.972,1.016,1.064,1.092,1.144,1.189,1.246,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
UPPER BASINGHALL STREET,0.012,0.013,0.014,0.014,0.015,0.016,0.017,0.019,0.021,0.022,0.024,0.026,0.027,0.029,0.03,0.032,0.034,0.037,0.04,0.044,0.047,0.052,0.057,0.059,0.065,0.069,0.075,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
VARLEY STREET,0.722,0.741,0.751,0.762,0.776,0.798,0.821,0.856,0.902,0.925,0.971,1.01,1.023,1.059,1.09,1.131,1.17,1.223,1.285,1.365,1.433,1.524,1.623,1.68,1.787,1.88,1.997,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
VICTORIA STREET,0.123,0.127,0.129,0.132,0.134,0.139,0.144,0.151,0.16,0.165,0.174,0.182,0.185,0.192,0.199,0.207,0.215,0.226,0.238,0.255,0.269,0.287,0.308,0.319,0.341,0.36,0.384,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
WALESBY,0.902,0.906,0.908,0.911,0.914,0.919,0.924,0.931,0.942,0.947,0.957,0.965,0.968,0.976,0.983,0.992,1.001,1.013,1.026,1.044,1.059,1.079,1.101,1.114,1.137,1.158,1.184,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
WARREN LANE,0.322,0.327,0.33,0.333,0.336,0.342,0.348,0.357,0.369,0.374,0.386,0.396,0.4,0.409,0.417,0.427,0.438,0.451,0.467,0.488,0.505,0.529,0.554,0.569,0.597,0.62,0.651,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
