Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
TIVERTON ROAD,542,886,1290,1740,2233,2760,3389,3993,4579,5142,5676,6174,6643,7080,7477,7829,8142,8403,8622,8805,8959,9085,9176,9253,9317,9372,9372,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TODMORDEN,422,728,1119,1583,2090,2630,3273,3892,4493,5070,5617,6131,6621,7070,7478,7839,8161,8424,8646,8834,8991,9121,9215,9293,9358,9414,9414,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TOLLER LANE,477,810,1225,1711,2242,2808,3482,4131,4761,5365,5939,6476,6988,7457,7885,8263,8601,8877,9111,9307,9473,9609,9707,9789,9857,9916,9916,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
TONG STREET,180,332,541,803,1087,1389,1750,2096,2433,2757,3063,3352,3631,3883,4112,4315,4496,4641,4764,4870,4958,5031,5084,5127,5163,5195,5195,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
UPPER BASINGHALL STREET,9,21,41,68,98,129,166,201,236,269,301,331,360,386,410,431,449,464,476,487,496,504,509,514,518,521,521,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
VARLEY STREET,652,1064,1548,2084,2674,3303,4053,4775,5474,6146,6783,7378,7937,8458,8932,9352,9727,10038,10300,10518,10701,10852,10961,11053,11129,11195,11195,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
VICTORIA STREET,106,180,274,385,505,633,787,934,1077,1214,1345,1467,1583,1690,1787,1873,1949,2012,2065,2110,2147,2178,2200,2219,2234,2248,2248,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WALESBY,243,424,659,942,1251,1579,1970,2347,2712,3063,3396,3709,4009,4281,4530,4750,4946,5105,5240,5354,5450,5529,5586,5633,5673,5707,5707,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WARREN LANE,256,393,533,669,822,984,1179,1366,1547,1720,1885,2037,2176,2310,2432,2540,2636,2719,2789,2846,2893,2932,2960,2984,3004,3021,3021,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WATH UPON DEARNE,353,610,939,1330,1757,2212,2754,3275,3782,4267,4729,5161,5575,5953,6296,6601,6872,7093,7280,7438,7571,7681,7760,7825,7880,7928,7928,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WAVERLEY BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WAWNE ROAD,395,645,940,1267,1627,2010,2469,2909,3336,3745,4134,4497,4839,5157,5446,5703,5931,6121,6280,6414,6526,6618,6684,6740,6786,6827,6827,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WEELAND ROAD,178,310,481,687,911,1149,1434,1707,1973,2228,2469,2696,2914,3112,3292,3452,3595,3710,3808,3891,3961,4018,4060,4094,4123,4148,4148,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WELLINGTON STREET,347,598,918,1299,1715,2158,2685,3193,3686,4159,4608,5029,5431,5799,6134,6430,6694,6910,7092,7246,7375,7482,7559,7623,7676,7722,7722,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
