Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
WHEATLEY PARK,149,206,277,365,471,596,727,872,1032,1204,1389,1587,1806,2034,2264,2492,2685,2868,3037,3190,3326,3445,3522,3549,3575,3600,3624,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WHINGATE,254,367,517,704,928,1192,1465,1767,2099,2457,2840,3251,3703,4175,4652,5124,5524,5903,6254,6571,6853,7100,7259,7317,7371,7423,7472,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WHITE LEE,566,822,1166,1593,2104,2707,3328,4018,4774,5588,6462,7398,8429,9504,10589,11666,12577,13441,14239,14962,15604,16168,16529,16662,16786,16904,17016,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WHITEHALL ROAD 2/3,6,11,19,29,41,54,68,83,100,118,137,157,180,203,227,251,271,289,307,323,337,349,357,360,363,365,368,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WHITEHALL ROAD 4/5,10,18,30,45,64,85,107,131,157,185,215,247,282,319,356,393,425,454,482,507,529,548,560,565,569,573,577,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WIBSEY,524,746,1038,1399,1833,2346,2875,3464,4110,4806,5552,6353,7235,8154,9082,10003,10782,11521,12203,12821,13370,13852,14161,14274,14380,14480,14576,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WITHERNSEA,177,265,385,535,715,925,1142,1382,1645,1928,2232,2557,2915,3288,3665,4039,4356,4656,4933,5184,5407,5603,5729,5775,5818,5859,5898,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WOODCOCK STREET,320,435,581,757,970,1225,1489,1784,2108,2458,2834,3236,3681,4144,4611,5075,5467,5839,6182,6493,6770,7012,7167,7224,7277,7327,7375,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WOODSEATS,585,784,1033,1332,1695,2130,2582,3088,3644,4244,4889,5580,6343,7139,7942,8739,9412,10050,10640,11174,11648,12064,12331,12427,12517,12603,12685,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WOOLLEY,581,744,933,1154,1423,1754,2099,2489,2920,3385,3885,4422,5016,5635,6260,6880,7402,7897,8356,8770,9138,9462,9668,9742,9811,9877,9940,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WORSBROUGH PARK,686,960,1316,1753,2279,2903,3549,4267,5057,5907,6820,7798,8877,10002,11136,12263,13215,14118,14952,15708,16379,16968,17346,17483,17612,17735,17852,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
WRAWBY,442,572,726,908,1128,1398,1678,1994,2343,2720,3125,3559,4039,4540,5046,5547,5970,6371,6741,7077,7375,7637,7804,7863,7920,7973,8024,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
